# @source="réseau Sentinelles, INSERM, Sorbonne Université, http://www.sentiweb.fr", @meta={"period":[198444,202240],"geo":["PAY","1"],"geo_ref":"insee","indicator":"3","type":"all","conf_int":true,"compact":false}, @date=2022-10-15T12:27:34+02:00
week,indicator,inc,inc_low,inc_up,inc100,inc100_low,inc100_up,geo_insee,geo_name
201212,3,84738,71566,97910,133,112,154,FR,France
201211,3,128945,113778,144112,203,179,227,FR,France
201210,3,174704,157337,192071,275,248,302,FR,France
201209,3,225648,206810,244486,355,325,385,FR,France
201208,3,287293,264901,309685,452,417,487,FR,France
201207,3,263557,242711,284403,415,382,448,FR,France
201206,3,175123,158942,191304,276,251,301,FR,France
201205,3,106110,92524,119696,167,146,188,FR,France
201204,3,67778,56784,78772,107,90,124,FR,France
201203,3,49440,40981,57899,78,65,91,FR,France
201202,3,40507,32652,48362,64,52,76,FR,France
201201,3,45104,35640,54568,71,56,86,FR,France
201152,3,36532,28367,44697,58,45,71,FR,France
201151,3,25835,19002,32668,41,30,52,FR,France
201150,3,24155,18145,30165,38,28,48,FR,France
201149,3,27209,20376,34042,43,32,54,FR,France
201148,3,32358,24451,40265,51,38,64,FR,France
201147,3,17627,11780,23474,28,19,37,FR,France
201146,3,22368,15730,29006,35,24,46,FR,France
201145,3,18104,11995,24213,29,19,39,FR,France
201144,3,14050,8471,19629,22,13,31,FR,France
201143,3,21522,14251,28793,34,22,46,FR,France
201142,3,16932,11363,22501,27,18,36,FR,France
201141,3,7486,4024,10948,12,7,17,FR,France
201140,3,14053,8659,19447,22,13,31,FR,France
201139,3,17021,11062,22980,27,18,36,FR,France
201138,3,14007,8465,19549,22,13,31,FR,France
201137,3,8365,4174,12556,13,6,20,FR,France
201136,3,4606,1714,7498,7,2,12,FR,France
201135,3,4178,1634,6722,7,3,11,FR,France
201134,3,3312,683,5941,5,1,9,FR,France
201133,3,2421,0,5277,4,0,9,FR,France
201132,3,2590,119,5061,4,0,8,FR,France
201131,3,2409,320,4498,4,1,7,FR,France
201130,3,3972,1395,6549,6,2,10,FR,France
201129,3,2265,717,3813,4,2,6,FR,France
201128,3,1977,255,3699,3,0,6,FR,France
201127,3,3524,551,6497,6,1,11,FR,France
201126,3,1155,0,2685,2,0,4,FR,France
201125,3,3791,1006,6576,6,2,10,FR,France
201124,3,3507,1149,5865,6,2,10,FR,France
201123,3,3406,1170,5642,5,1,9,FR,France
201122,3,3122,1125,5119,5,2,8,FR,France
201121,3,2694,769,4619,4,1,7,FR,France
201120,3,3951,1443,6459,6,2,10,FR,France
201119,3,5416,1995,8837,9,4,14,FR,France
201118,3,5306,1815,8797,8,2,14,FR,France
201117,3,2659,310,5008,4,0,8,FR,France
201116,3,5061,1988,8134,8,3,13,FR,France
201115,3,6557,3038,10076,10,4,16,FR,France
201114,3,7352,3784,10920,12,6,18,FR,France
201113,3,8749,5213,12285,14,8,20,FR,France
201112,3,12491,7845,17137,20,13,27,FR,France
201111,3,14619,10009,19229,23,16,30,FR,France
201110,3,33628,26073,41183,53,41,65,FR,France
201109,3,54522,46057,62987,86,73,99,FR,France
201108,3,78392,67885,88899,124,107,141,FR,France
201107,3,149219,134798,163640,236,213,259,FR,France
201106,3,216579,200236,232922,343,317,369,FR,France
201105,3,278192,260235,296149,440,412,468,FR,France
201104,3,278218,259626,296810,440,411,469,FR,France
201103,3,275882,257313,294451,437,408,466,FR,France
201102,3,308949,288320,329578,489,456,522,FR,France
201101,3,309933,288190,331676,490,456,524,FR,France
201052,3,228105,208046,248164,363,331,395,FR,France
201051,3,158957,142576,175338,253,227,279,FR,France
201050,3,104874,91639,118109,167,146,188,FR,France
201049,3,54971,46418,63524,88,74,102,FR,France
201048,3,36982,29304,44660,59,47,71,FR,France
201047,3,26598,20123,33073,42,32,52,FR,France
201046,3,15465,10915,20015,25,18,32,FR,France
201045,3,9040,5772,12308,14,9,19,FR,France
201044,3,15833,10255,21411,25,16,34,FR,France
201043,3,16002,11001,21003,25,17,33,FR,France
201042,3,18709,13376,24042,30,22,38,FR,France
201041,3,17352,12182,22522,28,20,36,FR,France
201040,3,18331,12824,23838,29,20,38,FR,France
201039,3,11978,7913,16043,19,13,25,FR,France
201038,3,8936,4906,12966,14,8,20,FR,France
201037,3,5318,2551,8085,8,4,12,FR,France
201036,3,4954,2058,7850,8,3,13,FR,France
201035,3,4279,1604,6954,7,3,11,FR,France
201034,3,4926,566,9286,8,1,15,FR,France
201033,3,2950,0,6507,5,0,11,FR,France
201032,3,671,0,1522,1,0,2,FR,France
201031,3,2732,509,4955,4,0,8,FR,France
201030,3,3989,1068,6910,6,1,11,FR,France
201029,3,4123,1531,6715,7,3,11,FR,France
201028,3,1209,0,2640,2,0,4,FR,France
201027,3,2494,433,4555,4,1,7,FR,France
201026,3,5808,2454,9162,9,4,14,FR,France
201025,3,8019,4395,11643,13,7,19,FR,France
201024,3,3584,1657,5511,6,3,9,FR,France
201023,3,4016,1905,6127,6,3,9,FR,France
201022,3,6251,3664,8838,10,6,14,FR,France
201021,3,3860,1636,6084,6,2,10,FR,France
201020,3,2470,442,4498,4,1,7,FR,France
201019,3,2273,636,3910,4,1,7,FR,France
201018,3,4095,1639,6551,7,3,11,FR,France
201017,3,2216,817,3615,4,2,6,FR,France
201016,3,3471,1085,5857,6,2,10,FR,France
201015,3,3990,1376,6604,6,2,10,FR,France
201014,3,6188,3191,9185,10,5,15,FR,France
201013,3,6705,3665,9745,11,6,16,FR,France
201012,3,6727,3582,9872,11,6,16,FR,France
201011,3,8692,5002,12382,14,8,20,FR,France
201010,3,8844,5465,12223,14,9,19,FR,France
201009,3,12081,7334,16828,19,11,27,FR,France
201008,3,15433,10422,20444,25,17,33,FR,France
201007,3,19690,11728,27652,31,18,44,FR,France
201006,3,27858,18883,36833,44,30,58,FR,France
201005,3,22197,17019,27375,35,27,43,FR,France
201004,3,33817,26151,41483,54,42,66,FR,France
201003,3,36236,27936,44536,58,45,71,FR,France
201002,3,40691,32891,48491,65,53,77,FR,France
201001,3,66574,56164,76984,106,89,123,FR,France
200953,3,96141,81818,110464,153,130,176,FR,France
200952,3,172872,153238,192506,275,244,306,FR,France
200951,3,247809,229140,266478,395,365,425,FR,France
200950,3,379424,355974,402874,604,567,641,FR,France
200949,3,473718,447756,499680,754,713,795,FR,France
200948,3,467551,441506,493596,744,703,785,FR,France
200947,3,378924,355752,402096,603,566,640,FR,France
200946,3,223847,203918,243776,356,324,388,FR,France
200945,3,147046,131155,162937,234,209,259,FR,France
200944,3,170231,151298,189164,271,241,301,FR,France
200943,3,131408,114883,147933,209,183,235,FR,France
200942,3,99387,84491,114283,158,134,182,FR,France
200941,3,100802,86381,115223,160,137,183,FR,France
200940,3,111587,97628,125546,178,156,200,FR,France
200939,3,121267,106153,136381,193,169,217,FR,France
200938,3,137924,121242,154606,220,193,247,FR,France
200937,3,101332,87522,115142,161,139,183,FR,France
200936,3,46024,36435,55613,73,58,88,FR,France
200935,3,31660,23669,39651,50,37,63,FR,France
200934,3,24985,17699,32271,40,28,52,FR,France
200933,3,24435,16308,32562,39,26,52,FR,France
200932,3,23151,14624,31678,37,23,51,FR,France
200931,3,30255,9818,50692,48,15,81,FR,France
200930,3,13868,7861,19875,22,12,32,FR,France
200929,3,10704,5314,16094,17,8,26,FR,France
200928,3,15516,273,30759,25,1,49,FR,France
200927,3,10354,2760,17948,16,4,28,FR,France
200926,3,9932,5257,14607,16,9,23,FR,France
200925,3,7619,4026,11212,12,6,18,FR,France
200924,3,7794,3409,12179,12,5,19,FR,France
200923,3,4342,1975,6709,7,3,11,FR,France
200922,3,6390,3020,9760,10,5,15,FR,France
200921,3,7118,3704,10532,11,6,16,FR,France
200920,3,9482,5804,13160,15,9,21,FR,France
200919,3,7538,4299,10777,12,7,17,FR,France
200918,3,9627,5121,14133,15,8,22,FR,France
200917,3,9537,5267,13807,15,8,22,FR,France
200916,3,14666,9218,20114,23,14,32,FR,France
200915,3,17533,12137,22929,28,19,37,FR,France
200914,3,26324,19150,33498,42,31,53,FR,France
200913,3,27737,20781,34693,44,33,55,FR,France
200912,3,38811,29935,47687,62,48,76,FR,France
200911,3,40410,30705,50115,64,49,79,FR,France
200910,3,53395,41943,64847,85,67,103,FR,France
200909,3,70558,57400,83716,112,91,133,FR,France
200908,3,109100,94840,123360,174,151,197,FR,France
200907,3,141531,125101,157961,225,199,251,FR,France
200906,3,276274,252759,299789,440,403,477,FR,France
200905,3,401868,375032,428704,640,597,683,FR,France
200904,3,545313,512892,577734,868,816,920,FR,France
200903,3,520957,487271,554643,829,775,883,FR,France
200902,3,287145,262869,311421,457,418,496,FR,France
200901,3,200349,180878,219820,319,288,350,FR,France
200852,3,198418,115769,281067,323,188,458,FR,France
200851,3,112588,96656,128520,184,158,210,FR,France
200850,3,51746,43319,60173,84,70,98,FR,France
200849,3,34950,27527,42373,57,45,69,FR,France
200848,3,25604,18563,32645,42,31,53,FR,France
200847,3,18706,10838,26574,30,17,43,FR,France
200846,3,10899,5461,16337,18,9,27,FR,France
200845,3,12472,7082,17862,20,11,29,FR,France
200844,3,9772,5661,13883,16,9,23,FR,France
200843,3,9345,5541,13149,15,9,21,FR,France
200842,3,9087,5572,12602,15,9,21,FR,France
200841,3,9925,5637,14213,16,9,23,FR,France
200840,3,7869,4535,11203,13,8,18,FR,France
200839,3,2195,506,3884,4,1,7,FR,France
200838,3,3679,1481,5877,6,2,10,FR,France
200837,3,2429,561,4297,4,1,7,FR,France
200836,3,2512,492,4532,4,1,7,FR,France
200835,3,1901,0,4869,3,0,8,FR,France
200834,3,2552,0,6509,4,0,10,FR,France
200833,3,7229,0,16106,12,0,26,FR,France
200832,3,4378,107,8649,7,0,14,FR,France
200831,3,3972,621,7323,6,1,11,FR,France
200830,3,3821,643,6999,6,1,11,FR,France
200829,3,2055,0,4225,3,0,7,FR,France
200828,3,3257,208,6306,5,0,10,FR,France
200827,3,2862,474,5250,5,1,9,FR,France
200826,3,897,0,2062,1,0,3,FR,France
200825,3,2006,360,3652,3,0,6,FR,France
200824,3,3217,823,5611,5,1,9,FR,France
200823,3,2906,1006,4806,5,2,8,FR,France
200822,3,1792,451,3133,3,1,5,FR,France
200821,3,3642,925,6359,6,2,10,FR,France
200820,3,6452,2790,10114,11,5,17,FR,France
200819,3,5173,1485,8861,8,2,14,FR,France
200818,3,5315,1770,8860,9,3,15,FR,France
200817,3,10150,5835,14465,17,10,24,FR,France
200816,3,11876,7054,16698,19,11,27,FR,France
200815,3,22871,16253,29489,37,26,48,FR,France
200814,3,45610,27907,63313,74,45,103,FR,France
200813,3,38600,29300,47900,63,48,78,FR,France
200812,3,53169,43299,63039,87,71,103,FR,France
200811,3,62014,50430,73598,101,82,120,FR,France
200810,3,90342,75729,104955,147,123,171,FR,France
200809,3,119696,104205,135187,195,170,220,FR,France
200808,3,198688,180749,216627,324,295,353,FR,France
200807,3,286498,264535,308461,467,431,503,FR,France
200806,3,377097,350714,403480,615,572,658,FR,France
200805,3,344050,320436,367664,561,523,599,FR,France
200804,3,290196,268193,312199,473,437,509,FR,France
200803,3,260268,233385,287151,424,380,468,FR,France
200802,3,160872,145311,176433,262,237,287,FR,France
200801,3,102562,88547,116577,167,144,190,FR,France
200752,3,86742,72295,101189,141,117,165,FR,France
200751,3,61954,51764,72144,101,84,118,FR,France
200750,3,45366,36923,53809,74,60,88,FR,France
200749,3,38351,26177,50525,63,43,83,FR,France
200748,3,48174,35418,60930,79,58,100,FR,France
200747,3,30716,23351,38081,50,38,62,FR,France
200746,3,18204,12267,24141,30,20,40,FR,France
200745,3,15521,10195,20847,25,16,34,FR,France
200744,3,13904,9072,18736,23,15,31,FR,France
200743,3,16212,10778,21646,26,17,35,FR,France
200742,3,20197,13955,26439,33,23,43,FR,France
200741,3,12987,8464,17510,21,14,28,FR,France
200740,3,13517,2983,24051,22,5,39,FR,France
200739,3,15985,7519,24451,26,12,40,FR,France
200738,3,4769,837,8701,8,2,14,FR,France
200737,3,1449,300,2598,2,0,4,FR,France
200736,3,1100,0,2424,2,0,4,FR,France
200735,3,1177,0,2872,2,0,5,FR,France
200734,3,3353,654,6052,5,1,9,FR,France
200733,3,4189,360,8018,7,1,13,FR,France
200732,3,132,0,688,0,0,1,FR,France
200731,3,1965,0,4461,3,0,7,FR,France
200730,3,2158,0,4583,4,0,8,FR,France
200729,3,3406,240,6572,6,1,11,FR,France
200728,3,1459,0,3467,2,0,5,FR,France
200727,3,1453,0,3382,2,0,5,FR,France
200726,3,157,0,513,0,0,1,FR,France
200725,3,3699,0,7778,6,0,13,FR,France
200724,3,2854,481,5227,5,1,9,FR,France
200723,3,5343,2164,8522,9,4,14,FR,France
200722,3,7689,4224,11154,13,7,19,FR,France
200721,3,4319,1659,6979,7,3,11,FR,France
200720,3,6400,2685,10115,10,4,16,FR,France
200719,3,3012,703,5321,5,1,9,FR,France
200718,3,2232,348,4116,4,1,7,FR,France
200717,3,4705,1736,7674,8,3,13,FR,France
200716,3,3817,1438,6196,6,2,10,FR,France
200715,3,4757,717,8797,8,1,15,FR,France
200714,3,11377,6957,15797,19,12,26,FR,France
200713,3,21271,13093,29449,35,22,48,FR,France
200712,3,25433,17717,33149,41,28,54,FR,France
200711,3,30764,23356,38172,50,38,62,FR,France
200710,3,49469,40368,58570,81,66,96,FR,France
200709,3,138901,117018,160784,226,190,262,FR,France
200708,3,316747,284988,348506,516,464,568,FR,France
200707,3,417698,386505,448891,681,630,732,FR,France
200706,3,500016,466668,533364,815,761,869,FR,France
200705,3,375457,346822,404092,612,565,659,FR,France
200704,3,209878,189332,230424,342,309,375,FR,France
200703,3,126161,110596,141726,206,181,231,FR,France
200702,3,82849,69493,96205,135,113,157,FR,France
200701,3,70842,58613,83071,115,95,135,FR,France
200652,3,78190,64191,92189,128,105,151,FR,France
200651,3,62734,50210,75258,103,82,124,FR,France
200650,3,35668,27280,44056,58,44,72,FR,France
200649,3,18773,13164,24382,31,22,40,FR,France
200648,3,16439,11225,21653,27,18,36,FR,France
200647,3,16104,9343,22865,26,15,37,FR,France
200646,3,14032,5590,22474,23,9,37,FR,France
200645,3,12285,7745,16825,20,13,27,FR,France
200644,3,8031,4172,11890,13,7,19,FR,France
200643,3,21157,12483,29831,35,21,49,FR,France
200642,3,16673,8249,25097,27,13,41,FR,France
200641,3,13920,9081,18759,23,15,31,FR,France
200640,3,11950,7132,16768,20,12,28,FR,France
200639,3,8945,4333,13557,15,7,23,FR,France
200638,3,2532,138,4926,4,0,8,FR,France
200637,3,1786,233,3339,3,0,6,FR,France
200636,3,1107,0,2346,2,0,4,FR,France
200635,3,2170,0,4760,4,0,8,FR,France
200634,3,1572,0,3756,3,0,7,FR,France
200633,3,0,0,0,0,0,0,FR,France
200632,3,0,0,0,0,0,0,FR,France
200631,3,1773,0,3892,3,0,6,FR,France
200630,3,665,0,1614,1,0,3,FR,France
200629,3,1339,0,3260,2,0,5,FR,France
200628,3,843,0,2245,1,0,3,FR,France
200627,3,1351,0,3031,2,0,5,FR,France
200626,3,4564,1506,7622,7,2,12,FR,France
200625,3,6259,2072,10446,10,3,17,FR,France
200624,3,4279,964,7594,7,2,12,FR,France
200623,3,4532,1489,7575,7,2,12,FR,France
200622,3,5807,2667,8947,10,5,15,FR,France
200621,3,4661,1761,7561,8,3,13,FR,France
200620,3,8859,4754,12964,15,8,22,FR,France
200619,3,5083,2011,8155,8,3,13,FR,France
200618,3,4454,1632,7276,7,2,12,FR,France
200617,3,17762,11802,23722,29,19,39,FR,France
200616,3,22096,15420,28772,36,25,47,FR,France
200615,3,26969,19631,34307,44,32,56,FR,France
200614,3,40321,31022,49620,66,51,81,FR,France
200613,3,77053,63531,90575,126,104,148,FR,France
200612,3,108004,93005,123003,177,152,202,FR,France
200611,3,122437,106388,138486,201,175,227,FR,France
200610,3,124749,109104,140394,204,178,230,FR,France
200609,3,164150,146099,182201,269,239,299,FR,France
200608,3,199088,178830,219346,326,293,359,FR,France
200607,3,243908,221071,266745,400,363,437,FR,France
200606,3,256758,235190,278326,421,386,456,FR,France
200605,3,184928,166901,202955,303,273,333,FR,France
200604,3,104620,90909,118331,171,149,193,FR,France
200603,3,66255,55727,76783,109,92,126,FR,France
200602,3,39211,31418,47004,64,51,77,FR,France
200601,3,34603,26269,42937,57,43,71,FR,France
200552,3,32132,24389,39875,53,40,66,FR,France
200551,3,40344,28397,52291,67,47,87,FR,France
200550,3,36880,28635,45125,61,47,75,FR,France
200549,3,27589,20576,34602,46,34,58,FR,France
200548,3,24860,17839,31881,41,29,53,FR,France
200547,3,26884,19810,33958,44,32,56,FR,France
200546,3,23967,17155,30779,40,29,51,FR,France
200545,3,14609,8709,20509,24,14,34,FR,France
200544,3,20481,13625,27337,34,23,45,FR,France
200543,3,18045,11916,24174,30,20,40,FR,France
200542,3,23653,15209,32097,39,25,53,FR,France
200541,3,26466,18270,34662,44,30,58,FR,France
200540,3,26647,18088,35206,44,30,58,FR,France
200539,3,23994,15381,32607,40,26,54,FR,France
200538,3,21881,13979,29783,36,23,49,FR,France
200537,3,10347,5384,15310,17,9,25,FR,France
200536,3,7082,2806,11358,12,5,19,FR,France
200535,3,2448,0,4987,4,0,8,FR,France
200534,3,5281,539,10023,9,1,17,FR,France
200533,3,2815,0,6252,5,0,11,FR,France
200532,3,1572,0,3690,3,0,6,FR,France
200531,3,3767,0,10955,6,0,18,FR,France
200530,3,2203,0,5072,4,0,9,FR,France
200529,3,3965,739,7191,7,2,12,FR,France
200528,3,1988,96,3880,3,0,6,FR,France
200527,3,2305,0,4713,4,0,8,FR,France
200526,3,4720,1385,8055,8,2,14,FR,France
200525,3,2354,0,4747,4,0,8,FR,France
200524,3,5892,2029,9755,10,4,16,FR,France
200523,3,5246,1722,8770,9,3,15,FR,France
200522,3,3935,1031,6839,6,1,11,FR,France
200521,3,4284,474,8094,7,1,13,FR,France
200520,3,7841,3611,12071,13,6,20,FR,France
200519,3,7638,3346,11930,13,6,20,FR,France
200518,3,2755,388,5122,5,1,9,FR,France
200517,3,7166,3530,10802,12,6,18,FR,France
200516,3,9741,5344,14138,16,9,23,FR,France
200515,3,14881,9018,20744,25,15,35,FR,France
200514,3,21988,14834,29142,36,24,48,FR,France
200513,3,42971,33053,52889,71,55,87,FR,France
200512,3,90040,75374,104706,149,125,173,FR,France
200511,3,183032,161407,204657,302,266,338,FR,France
200510,3,222526,199990,245062,367,330,404,FR,France
200509,3,251784,229464,274104,416,379,453,FR,France
200508,3,277423,254825,300021,458,421,495,FR,France
200507,3,459444,430026,488862,759,710,808,FR,France
200506,3,568610,536207,601013,939,885,993,FR,France
200505,3,568285,534912,601658,938,883,993,FR,France
200504,3,316856,292011,341701,523,482,564,FR,France
200503,3,154208,137061,171355,255,227,283,FR,France
200502,3,88853,75576,102130,147,125,169,FR,France
200501,3,55801,45339,66263,92,75,109,FR,France
200453,3,40695,31926,49464,68,53,83,FR,France
200452,3,32687,24316,41058,54,40,68,FR,France
200451,3,46209,36017,56401,77,60,94,FR,France
200450,3,42358,31865,52851,70,53,87,FR,France
200449,3,27092,17910,36274,45,30,60,FR,France
200448,3,30522,21236,39808,51,36,66,FR,France
200447,3,21148,13386,28910,35,22,48,FR,France
200446,3,13934,8335,19533,23,14,32,FR,France
200445,3,15658,9703,21613,26,16,36,FR,France
200444,3,23166,14852,31480,38,24,52,FR,France
200443,3,16780,10545,23015,28,18,38,FR,France
200442,3,20480,13909,27051,34,23,45,FR,France
200441,3,15852,9789,21915,26,16,36,FR,France
200440,3,25639,17291,33987,43,29,57,FR,France
200439,3,22680,13222,32138,38,22,54,FR,France
200438,3,17483,9417,25549,29,16,42,FR,France
200437,3,9103,4768,13438,15,8,22,FR,France
200436,3,7753,3596,11910,13,6,20,FR,France
200435,3,4408,775,8041,7,1,13,FR,France
200434,3,4501,610,8392,7,1,13,FR,France
200433,3,1697,0,4046,3,0,7,FR,France
200432,3,3496,0,8181,6,0,14,FR,France
200431,3,2949,20,5878,5,0,10,FR,France
200430,3,3557,642,6472,6,1,11,FR,France
200429,3,5164,1162,9166,9,2,16,FR,France
200428,3,6358,2224,10492,11,4,18,FR,France
200427,3,7486,3040,11932,12,5,19,FR,France
200426,3,7113,0,14709,12,0,25,FR,France
200425,3,3275,508,6042,5,0,10,FR,France
200424,3,6737,2394,11080,11,4,18,FR,France
200423,3,9792,807,18777,16,1,31,FR,France
200422,3,8077,3482,12672,13,5,21,FR,France
200421,3,8073,3588,12558,13,6,20,FR,France
200420,3,7885,3454,12316,13,6,20,FR,France
200419,3,7235,3101,11369,12,5,19,FR,France
200418,3,5108,1830,8386,8,3,13,FR,France
200417,3,3647,523,6771,6,1,11,FR,France
200416,3,5265,1359,9171,9,3,15,FR,France
200415,3,8272,3655,12889,14,6,22,FR,France
200414,3,15657,8888,22426,26,15,37,FR,France
200413,3,8316,4067,12565,14,7,21,FR,France
200412,3,12482,6899,18065,21,12,30,FR,France
200411,3,13964,7879,20049,23,13,33,FR,France
200410,3,22531,14164,30898,37,23,51,FR,France
200409,3,12618,7283,17953,21,12,30,FR,France
200408,3,17738,11055,24421,29,18,40,FR,France
200407,3,25484,17228,33740,42,28,56,FR,France
200406,3,27452,19505,35399,46,33,59,FR,France
200405,3,35110,25869,44351,58,43,73,FR,France
200404,3,44571,35266,53876,74,59,89,FR,France
200403,3,60482,50389,70575,100,83,117,FR,France
200402,3,95234,81407,109061,158,135,181,FR,France
200401,3,109116,84565,133667,181,140,222,FR,France
200352,3,72239,5520,138958,121,10,232,FR,France
200351,3,445464,389214,501714,744,650,838,FR,France
200350,3,522427,491781,553073,873,822,924,FR,France
200349,3,555492,524706,586278,928,877,979,FR,France
200348,3,514668,485364,543972,860,811,909,FR,France
200347,3,332927,305972,359882,556,511,601,FR,France
200346,3,146101,126840,165362,244,212,276,FR,France
200345,3,95565,80900,110230,160,135,185,FR,France
200344,3,54703,43193,66213,91,72,110,FR,France
200343,3,45834,36611,55057,77,62,92,FR,France
200342,3,39010,28885,49135,65,48,82,FR,France
200341,3,29579,21478,37680,49,35,63,FR,France
200340,3,30862,19484,42240,52,33,71,FR,France
200339,3,26592,18927,34257,44,31,57,FR,France
200338,3,14811,8777,20845,25,15,35,FR,France
200337,3,14735,7495,21975,25,13,37,FR,France
200336,3,10951,3732,18170,18,6,30,FR,France
200335,3,1504,0,3349,3,0,6,FR,France
200334,3,2194,0,4889,4,0,9,FR,France
200333,3,1504,0,3921,3,0,7,FR,France
200332,3,1619,0,4072,3,0,7,FR,France
200331,3,5164,0,10601,9,0,18,FR,France
200330,3,3183,28,6338,5,0,10,FR,France
200329,3,6801,450,13152,11,0,22,FR,France
200328,3,3975,609,7341,7,1,13,FR,France
200327,3,2293,0,4605,4,0,8,FR,France
200326,3,5333,2138,8528,9,4,14,FR,France
200325,3,2602,0,5228,4,0,8,FR,France
200324,3,8429,0,19483,14,0,32,FR,France
200323,3,4821,1479,8163,8,2,14,FR,France
200322,3,2573,158,4988,4,0,8,FR,France
200321,3,5563,2465,8661,9,4,14,FR,France
200320,3,7554,3748,11360,13,7,19,FR,France
200319,3,8325,3777,12873,14,6,22,FR,France
200318,3,12268,6392,18144,20,10,30,FR,France
200317,3,46253,36234,56272,77,60,94,FR,France
200316,3,50759,39835,61683,85,67,103,FR,France
200315,3,69269,55778,82760,116,93,139,FR,France
200314,3,70084,55374,84794,117,92,142,FR,France
200313,3,70335,56370,84300,118,95,141,FR,France
200312,3,88582,73568,103596,148,123,173,FR,France
200311,3,99729,83353,116105,167,140,194,FR,France
200310,3,121516,104361,138671,203,174,232,FR,France
200309,3,177255,151800,202710,296,253,339,FR,France
200308,3,222638,194269,251007,372,325,419,FR,France
200307,3,237104,207851,266357,396,347,445,FR,France
200306,3,206955,177973,235937,346,298,394,FR,France
200305,3,151864,125877,177851,254,211,297,FR,France
200304,3,95356,76211,114501,159,127,191,FR,France
200303,3,50983,38264,63702,85,64,106,FR,France
200302,3,31447,21706,41188,53,37,69,FR,France
200301,3,31228,19202,43254,52,32,72,FR,France
200252,3,47016,33692,60340,79,57,101,FR,France
200251,3,47629,36912,58346,80,62,98,FR,France
200250,3,35221,26217,44225,59,44,74,FR,France
200249,3,24656,16900,32412,41,28,54,FR,France
200248,3,19799,12868,26730,33,21,45,FR,France
200247,3,16449,9214,23684,28,16,40,FR,France
200246,3,12753,5779,19727,21,9,33,FR,France
200245,3,19304,8475,30133,32,14,50,FR,France
200244,3,18082,10671,25493,30,18,42,FR,France
200243,3,14326,7548,21104,24,13,35,FR,France
200242,3,13774,7800,19748,23,13,33,FR,France
200241,3,11036,5650,16422,19,10,28,FR,France
200240,3,8137,3375,12899,14,6,22,FR,France
200239,3,15989,9892,22086,27,17,37,FR,France
200238,3,7067,3299,10835,12,6,18,FR,France
200237,3,12409,4981,19837,21,9,33,FR,France
200236,3,1679,0,4072,3,0,7,FR,France
200235,3,2126,0,6301,4,0,11,FR,France
200234,3,2843,0,7483,5,0,13,FR,France
200233,3,2670,0,5462,4,0,9,FR,France
200232,3,1087,0,3003,2,0,5,FR,France
200231,3,5455,399,10511,9,1,17,FR,France
200230,3,3601,0,7836,6,0,13,FR,France
200229,3,5576,379,10773,9,0,18,FR,France
200228,3,6602,0,14289,11,0,24,FR,France
200227,3,1882,0,6151,3,0,10,FR,France
200226,3,4523,0,12320,8,0,21,FR,France
200225,3,4765,1076,8454,8,2,14,FR,France
200224,3,12063,7174,16952,20,12,28,FR,France
200223,3,15468,9806,21130,26,16,36,FR,France
200222,3,4854,1696,8012,8,3,13,FR,France
200221,3,5901,2212,9590,10,4,16,FR,France
200220,3,3803,1215,6391,6,2,10,FR,France
200219,3,6139,2598,9680,10,4,16,FR,France
200218,3,6083,2646,9520,10,4,16,FR,France
200217,3,7223,2678,11768,12,4,20,FR,France
200216,3,17762,9887,25637,30,17,43,FR,France
200215,3,21654,13662,29646,36,23,49,FR,France
200214,3,23877,15709,32045,40,26,54,FR,France
200213,3,27497,16289,38705,46,27,65,FR,France
200212,3,33510,20938,46082,56,35,77,FR,France
200211,3,40426,29171,51681,68,49,87,FR,France
200210,3,42915,24537,61293,72,41,103,FR,France
200209,3,63735,48368,79102,107,81,133,FR,France
200208,3,117204,95548,138860,197,161,233,FR,France
200207,3,170251,137065,203437,286,230,342,FR,France
200206,3,325084,296111,354057,546,497,595,FR,France
200205,3,456186,422559,489813,767,710,824,FR,France
200204,3,504715,470859,538571,848,791,905,FR,France
200203,3,383720,353019,414421,645,593,697,FR,France
200202,3,244028,217752,270304,410,366,454,FR,France
200201,3,115422,95696,135148,194,161,227,FR,France
200152,3,57999,43225,72773,98,73,123,FR,France
200151,3,45961,36017,55905,78,61,95,FR,France
200150,3,31309,22878,39740,53,39,67,FR,France
200149,3,34792,23268,46316,59,40,78,FR,France
200148,3,43283,20164,66402,73,34,112,FR,France
200147,3,27455,20021,34889,46,33,59,FR,France
200146,3,21127,14294,27960,36,24,48,FR,France
200145,3,20766,13979,27553,35,24,46,FR,France
200144,3,11410,6593,16227,19,11,27,FR,France
200143,3,23311,15652,30970,39,26,52,FR,France
200142,3,18963,11652,26274,32,20,44,FR,France
200141,3,20241,14032,26450,34,24,44,FR,France
200140,3,18113,9971,26255,31,17,45,FR,France
200139,3,25407,7785,43029,43,13,73,FR,France
200138,3,9736,4985,14487,16,8,24,FR,France
200137,3,8025,3527,12523,14,6,22,FR,France
200136,3,4663,654,8672,8,1,15,FR,France
200135,3,4399,0,9810,7,0,16,FR,France
200134,3,2990,0,6419,5,0,11,FR,France
200133,3,0,0,0,0,0,0,FR,France
200132,3,0,0,0,0,0,0,FR,France
200131,3,18999,4286,33712,32,7,57,FR,France
200130,3,2144,0,5670,4,0,10,FR,France
200129,3,2408,0,5215,4,0,9,FR,France
