date,total_cas_confirmes,total_deces_hopital,total_deces_ehpad,total_cas_confirmes_ehpad,total_cas_possibles_ehpad,patients_reanimation,patients_hospitalises,total_patients_gueris,nouveaux_patients_hospitalises,nouveaux_patients_reanimation
2020-04-16,108847,11060,6860,18967,37213,6248,31305,32812,2084,270
2020-04-17,109252,11478,7203,20272,38717,6027,31190,34420,2166,242
2020-04-18,111821,11842,7481,22163,39972,5833,30639,35983,1565,206
2020-04-19,112606,12069,7649,23048,40288,5744,30610,36578,890,137
2020-04-20,114657,12513,7752,23668,40726,5683,30584,37409,1464,208
2020-04-21,117324,12900,7896,,,5433,30106,39181,1885,190
2020-04-22,119151,13236,8104,25513,,5218,29741,40657,1619,183
2020-04-23,120804,13547,8309,26840,37379,5053,29219,42088,1410,178
2020-04-24,122577,13852,8393,27880,37251,4870,28658,43493,1346,155
2020-04-25,124114,14050,8564,29126,37374,4725,28222,44594,999,124
2020-04-26,124575,14202,8654,29643,37525,4682,28217,44903,481,79
2020-04-27,128339,14497,8796,30227,37503,4608,28055,45513,964,125
2020-04-28,129859,14810,8850,30817,39076,4387,27484,46886,1321,153
2020-04-29,128442,15053,9034,31795,,4207,26834,48228,1070,110
2020-04-30,129581,15244,9132,32355,,4019,26283,49476,1048,121
2020-05-01,130185,15369,9225,32791,,3878,25887,50212,668,73
2020-05-02,130979,15487,9273,33271,,3827,25827,50562,453,64
2020-05-03,131287,15583,9312,33361,,3819,25815,50784,345,80
2020-05-04,131863,15826,9375,33791,,3696,25548,51371,689,84
2020-05-05,132967,16060,9471,34108,,3430,24775,52736,987,111
2020-05-06,137150,16237,9572,34507,,3147,23983,53972,833,69
2020-05-07,137779,16386,9601,34653,,2961,23208,55027,728,99
2020-05-08,138421,16497,9733,34890,,2868,22724,55782,510,89
2020-05-09,138854,16573,9737,35046,,2812,22614,56038,265,38
2020-05-10,139063,16642,9738,35236,,2776,22569,56217,253,38
2020-05-11,139519,16820,9823,35195,,2712,22284,56724,523,82
2020-05-12,140227,17003,9988,35437,,2542,21595,57785,670,92
2020-05-13,140734,17101,9973,35604,,2428,21071,58673,543,69
2020-05-14,141356,17224,10201,35820,,2299,20463,59605,542,52
2020-05-15,141919,17342,10187,36126,,2203,19861,60448,438,64
2020-05-16,142291,17412,10213,36175,,2132,19432,61066,350,46
2020-05-17,142411,17466,10642,36461,,2087,19361,61213,152,24
2020-05-18,142903,17589,10650,36599,,1998,19015,61728,375,38
2020-05-19,143427,17714,10308,36530,,1894,18468,62563,506,69
2020-05-20,143845,17812,10320,36751,,1794,17941,63354,432,43
2020-05-21,144163,17870,10345,36853,,1745,17583,63858,271,28
2020-05-22,144556,17944,10345,36853,,1701,17383,64209,263,36
2020-05-23,144806,17987,10345,36853,,1665,17178,64547,233,30
2020-05-24,144921,18022,10345,36853,,1655,17185,64617,121,24
2020-05-25,145279,18112,10345,36853,,1609,16798,65199,342,45
2020-05-26,145555,18260,10335,37235,,1555,16264,65879,318,37
2020-05-27,145746,18260,10336,37235,,1501,15680,66584,271,32
2020-05-28,149071,18326,10336,37235,,1429,15208,67191,253,36
2020-05-29,149668,18387,10327,37273,,1361,14695,67803,255,29
2020-05-30,151496,18444,10327,37273,,1325,14380,68268,227,29
2020-05-31,151753,18475,10327,37273,,1319,14322,68355,72,18
2020-06-01,152091,18506,10327,37273,,1302,14288,68440,89,9
2020-06-02,151325,18590,10350,37405,,1253,14028,68812,229,33
2020-06-03,151677,18671,10350,37405,,1210,13514,69455,250,26
2020-06-04,152444,18715,10350,37405,,1163,13101,69976,195,23
2020-06-05,153055,18761,10350,37405,,1094,12696,70504,213,19
2020-06-06,153634,18792,10350,37405,,1059,12479,70806,143,15
2020-06-07,153977,18805,10350,37405,,1053,12461,70842,37,4
2020-06-08,154188,18859,10350,37405,,1024,12315,71062,145,23
2020-06-09,154591,18912,10384,37599,,955,11961,71506,169,15
2020-06-10,155136,18935,10384,37599,,933,11678,71832,130,23
2020-06-11,155561,18962,10384,37599,,903,11465,72149,143,26
2020-06-12,156287,18990,10384,37599,,879,11124,72572,136,18
2020-06-13,156813,19014,10384,37599,,871,10909,72808,68,14
2020-06-14,157220,19023,10384,37599,,869,10881,72859,33,6
2020-06-15,157372,19052,10384,37599,,846,10752,73044,114,12
2020-06-16,157716,19090,10457,37901,,820,10535,73335,143,14
2020-06-17,158174,19118,10457,37901,,772,10267,73667,116,14
2020-06-18,158641,19146,10457,37901,,752,10125,73887,136,15
2020-06-19,159452,19160,10457,37901,,727,9970,74117,116,10
2020-06-20,160093,19176,10457,37901,,715,9837,74312,90,7
2020-06-21,160377,19183,10457,37901,,715,9823,74372,48,5
2020-06-22,160750,19206,10457,37901,,701,9693,74612,142,16
2020-06-23,161267,19232,10488,37995,,682,9491,74871,117,15
2020-06-24,161348,19243,10488,37995,,658,9299,75127,97,8
2020-06-25,161348,19264,10488,37995,,651,9141,75351,124,15
2020-06-26,162936,19290,10488,37995,,634,8886,75649,87,15
2020-06-27,163454,19290,10488,37995,,634,8886,75649,55,9
2020-06-28,163980,19290,10488,37995,,634,8886,75649,44,4
2020-06-29,164260,19325,10488,37995,,619,8688,75999,102,15
2020-06-30,164801,19346,10497,38107,,602,8536,76274,152,8
2020-07-01,165719,19364,10497,38107,,582,8336,76549,106,17
2020-07-02,166378,19378,10497,38107,,573,8148,76802,93,12
2020-07-03,166960,19396,10497,38107,,560,7990,77060,125,12
2020-07-04,167711,19388,NaN,38107,,517,7863,77160,47,4
2020-07-05,168159,19390,NaN,38107,,521,7863,77179,21,5
2020-07-06,168335,19423,10497,38107,,548,7850,77319,98,10
2020-07-07,168810,19457,10476,39256,,538,7594,77655,127,21
2020-07-08,169473,19489,10476,39256,,529,7297,77996,83,18
2020-07-09,170094,19503,10476,39256,,512,7177,78170,79,8
2020-07-10,170752,19528,10476,39256,,496,7062,78388,136,9
2020-07-11,171504,19514,10476,39256,,470,6995,78454,57,7
2020-07-12,172089,19515,10476,39256,,473,6991,78486,26,5
2020-07-13,172377,19553,10476,39256,,492,6983,78597,68,10
2020-07-14,172888,19539,10476,39256,,465,6907,78670,61,7
2020-07-15,173304,19579,10541,39464,,482,6915,78820,133,16
2020-07-16,173838,19597,10541,39464,,481,6796,79036,119,23
2020-07-17,174674,19611,10541,39464,,477,6688,79244,119,17
2020-07-18,175639,19599,10541,39464,,450,6614,79322,68,6
2020-07-19,176404,19600,10541,39464,,448,6583,79384,36,4
2020-07-20,176754,19636,10541,39464,,467,6589,79541,137,18
2020-07-21,177338,19649,10516,39554,,455,6482,79734,109,12
2020-07-22,178336,19656,10516,39554,,445,6366,79957,132,17
2020-07-23,179398,19666,10516,39554,,436,5957,80472,123,13
2020-07-24,180528,19676,10516,39554,,410,5720,80815,126,16
2020-07-25,NaN,19664,10516,39554,,368,5634,80915,86,8
2020-07-26,NaN,19665,10516,39554,,367,5640,80947,36,1
2020-07-27,183079,19693,10516,39554,,398,5655,81082,118,25
2020-07-28,183804,19708,10515,39638,,385,5551,81311,172,22
2020-07-29,185196,19723,10515,39638,,380,5450,81500,118,14
2020-07-30,186573,19739,10515,39638,,381,5375,81667,116,14
2020-07-31,187919,19750,10515,39638,,371,5298,81881,152,16
2020-08-01,189547,19736,10515,39638,,344,5177,82016,77,11
2020-08-02,190739,19737,10515,39638,,345,5188,82029,25,3
2020-08-03,191295,19779,10515,39638,,384,5198,82166,142,29
2020-08-04,192334,19790,10506,39645,,388,5162,82318,139,21
2020-08-05,194029,19799,10506,39645,,384,5148,82460,137,15
2020-08-06,195633,19806,10506,39645,,390,5060,82670,141,21
2020-08-07,197921,19818,10506,39645,,383,5011,82836,136,20
2020-08-08,200105,19800,10506,39645,,366,4981,82881,73,12
2020-08-09,201990,19800,10506,39645,,368,4992,82886,14,4
2020-08-10,202775,19834,10506,39645,,396,5045,83047,180,28
2020-08-11,204172,19849,10505,39744,,391,5012,83237,191,21
2020-08-12,206696,19866,10505,39744,,379,4891,83472,143,17
2020-08-13,209365,19883,10505,39744,,374,4864,83663,201,25
2020-08-14,212211,19901,10505,39744,,367,4828,83848,173,20
2020-08-15,215521,19904,10505,39744,,353,4817,83880,87,15
2020-08-16,218536,19905,10505,39744,,376,4860,83921,33,2
2020-08-17,219029,19924,10505,39744,,384,4925,84065,234,34
2020-08-18,221267,19940,10511,39930,,380,4823,84309,185,28
2020-08-19,225043,19957,10511,39930,,374,4806,84467,162,31
2020-08-20,229814,19969,10511,39930,,380,4748,84642,149,28
2020-08-21,234400,19992,10511,39930,,379,4745,84829,210,37
2020-08-22,238002,20001,10511,39930,,380,4711,84950,115,10
2020-08-23,242899,20002,10511,39930,,383,4709,84973,29,6
2020-08-24,244854,20017,10511,39930,,399,4690,85199,233,43
2020-08-25,248158,20038,10506,40043,,410,4600,85524,265,49
2020-08-26,253587,20034,10506,40043,,373,4535,85731,215,21
2020-08-27,259698,20070,10506,40043,,381,4535,85984,225,32
2020-08-28,267077,20089,10507,40083,,387,4535,86177,241,32
2020-08-29,272530,20095,10507,40083,,400,4530,86298,135,28
2020-08-30,277943,20099,10507,40083,,402,4535,86310,23,5
2020-08-31,281025,20128,10507,40083,,409,4582,86469,254,45
2020-09-01,286007,20147,10514,40300,,424,4604,86712,300,54
2020-09-02,293024,20172,10514,40300,,446,4632,86963,317,57
2020-09-03,300181,20192,10514,40300,,464,4643,87206,307,55
2020-09-04,309156,20210,10476,40300,,473,4671,87447,292,46
2020-09-05,317706,20222,10476,40300,,482,4839,87579,168,23
2020-09-06,324777,20225,10476,40300,,486,4905,87608,66,8
2020-09-07,328980,20250,10476,40300,,537,4907,87836,448,83
2020-09-08,335524,20289,10475,40876,,574,4960,88226,490,86
2020-09-09,344101,20319,10475,40876,,599,5003,88524,386,71
2020-09-10,353944,20338,10475,40876,,615,5096,88742,352,54
2020-09-11,363350,20378,10515,41389,,635,5155,89059,447,64
2020-09-12,373911,20395,10515,41389,,662,5195,89231,243,51
2020-09-13,381094,20401,10515,41389,,669,5247,89270,98,18
2020-09-14,387252,20435,10515,41389,,712,5498,89507,545,104
2020-09-15,395104,20471,10528,42047,,759,5679,89891,642,117
2020-09-16,404888,20517,10528,42047,,803,5819,90335,649,100
2020-09-17,415481,20567,10528,42047,,800,5844,90840,599,81
2020-09-18,428696,20689,10560,42699,,827,5819,91574,850,100
2020-09-19,442194,20714,10560,42699,,834,5512,92319,470,73
2020-09-20,452763,20725,10560,42699,,841,5375,92582,139,24
2020-09-21,458061,20778,10560,42699,,919,5616,93008,754,143
2020-09-22,468069,20845,10571,43555,,951,5796,93538,783,130
2020-09-23,481141,20888,10571,43555,,1002,5932,93982,649,124
2020-09-24,497237,20940,10571,43555,,1048,6031,94413,613,124
2020-09-25,513034,20995,10666,44471,,1098,6128,94891,661,129
2020-09-26,527446,21034,10666,44471,,1111,6172,95303,503,89
2020-09-27,538569,21061,10666,44471,,1118,6253,95426,241,47
2020-09-28,542639,21142,10666,44471,,1164,6415,95774,619,137
2020-09-29,550690,21201,10692,45090,,1204,6500,96327,698,165
2020-09-30,563535,21264,10692,45090,,1238,6590,96797,650,135
2020-10-01,577505,21327,10692,45090,,1265,6652,97271,626,142
2020-10-02,589653,21374,10781,45701,,1276,6758,97778,721,120
2020-10-03,606625,21417,10781,45701,,1295,6758,98230,532,103
2020-10-04,619190,21449,10781,45701,,1341,6982,98374,418,91
2020-10-05,624274,21518,10781,45701,,1415,7294,98680,710,152
2020-10-06,634763,21580,10785,46520,,1426,7398,99295,829,168
2020-10-07,653509,21660,10785,46520,,1416,7536,99793,789,143
2020-10-08,671638,21736,10785,46520,,1427,7624,100306,711,114
2020-10-09,691977,21798,10832,47549,,1448,7864,100828,848,150
2020-10-10,718873,21852,10832,47549,,1465,7997,101311,694,110
2020-10-11,734974,21898,10832,47549,,1492,8252,101491,503,73
2020-10-12,743479,21993,10832,47549,,1548,8692,101899,916,171
2020-10-13,756472,22077,10856,48845,,1642,8949,102680,1168,226
2020-10-14,779063,22181,10856,48845,,1673,9194,103413,1133,193
2020-10-15,809684,22269,10856,48845,,1750,9605,104082,1207,219
2020-10-16,834770,22391,10912,48845,,1800,10042,104696,1225,212
2020-10-17,867197,22480,10912,48845,,1877,10420,105194,986,175
2020-10-18,897034,22565,10912,48845,,1948,10918,105431,835,147
2020-10-19,910277,22711,10912,48845,,2099,11661,105935,1424,269
2020-10-20,930745,22873,11012,53385,,2177,12458,106839,1944,278
2020-10-21,957421,23036,11012,53385,,2248,13185,107652,1754,284
2020-10-22,999043,23198,11012,53385,,2319,14032,108599,1998,262
2020-10-23,1041075,23382,11126,57261,,2441,15008,109486,2091,299
2020-10-24,1086497,23519,11126,57261,,2500,15660,110322,2500,233
2020-10-25,1138507,23635,11126,57261,,2584,16477,110660,1298,191
2020-10-26,1165278,23892,11126,57261,,2770,17784,111347,2314,357
2020-10-27,1198695,24180,11361,62297,,2918,18978,112716,2988,431
2020-10-28,1235132,24424,11361,62297,,3045,20207,113977,2821,372
2020-10-29,1282769,24659,11361,62297,,3156,21183,115287,2607,395
2020-10-30,1331984,24914,11651,68349,,3377,22176,116533,2563,422
2020-10-31,1367625,25137,11651,68349,,3452,23036,117658,2274,339
2020-11-01,1413915,25368,11651,68349,,3578,24031,118227,1883,289
2020-11-02,1466433,25784,11651,68349,,3730,25143,119104,2547,430
2020-11-03,1502763,26210,12079,73958,,3878,26265,120714,3311,469
2020-11-04,1543321,26595,12079,73958,,4089,27534,122662,3681,540
2020-11-05,1601367,26958,12079,73958,,4230,28426,124278,2989,447
2020-11-06,1661853,27356,12509,80369,,4331,28979,126329,3140,434
2020-11-07,1748705,27660,12509,80369,,4421,29421,127938,2458,394
2020-11-08,1787324,27930,12509,80369,,4539,30243,128614,1814,323
2020-11-09,1807479,28478,12509,80369,,4690,31125,129735,2670,484
2020-11-10,1829659,28944,13263,87932,,4750,31505,131920,3169,473
2020-11-11,1865538,29272,13263,87932,,4803,31946,133696,2588,351
2020-11-12,1898710,29697,13263,87932,,4899,32683,134954,2366,386
2020-11-13,1922504,30153,13739,94240,,4903,32707,137155,2830,471
2020-11-14,1954599,30507,13739,94240,,4871,32499,139140,2194,326
2020-11-15,1981827,30809,13739,94240,,4896,33081,139810,2194,270
2020-11-16,1991233,31315,13739,94240,,4919,33497,140880,2064,366
2020-11-17,2036755,31743,14530,101482,,4854,33170,143152,2505,382
2020-11-18,2065138,32168,14530,101482,,4775,32842,145391,2428,357
2020-11-19,2086288,32597,14530,101482,,4653,32345,147569,2213,311
2020-11-20,2109170,32978,15287,107460,,4582,31906,149521,1962,263
2020-11-21,2127051,33231,15287,107460,,4509,31197,151177,1509,219
2020-11-22,2140208,33445,15287,107460,,4509,31554,151681,904,171
2020-11-23,2144660,33945,15287,107460,,4454,31481,152592,1377,243
2020-11-24,2153815,34399,15838,112080,,4289,30622,154679,1781,269
2020-11-25,2170097,34780,15838,112080,,4148,29972,156552,1674,257
2020-11-26,2183660,35119,15838,112080,,4018,29310,158236,1459,192
2020-11-27,2196119,35512,16402,116240,,3883,28648,159915,1468,206
2020-11-28,2208699,35725,16402,116240,,3777,28168,161137,973,122
2020-11-29,2218483,35923,16402,116240,,3756,28313,161427,650,102
2020-11-30,2222488,36329,16402,116240,,3751,28258,162281,1251,196
2020-12-01,2230571,36692,16814,119716,,3605,27639,164029,1572,234
2020-12-02,2244635,37002,16814,119716,,3488,27013,165563,1252,160
2020-12-03,2257331,37326,16814,119716,,3425,26703,166940,1448,184
2020-12-04,2268552,37608,17159,123298,,3293,26311,168352,1399,163
2020-12-05,2281475,37822,17159,123298,,3230,26070,169358,1017,125
2020-12-06,2292497,37996,17159,123298,,3220,26293,169586,625,101
2020-12-07,2295908,38362,17159,123298,,3198,26365,170285,1200,202
2020-12-08,2309621,38739,17613,126828,,3088,25914,171868,1587,214
2020-12-09,2324216,39035,17613,126828,,3041,25558,173247,1372,170
2020-12-10,2337966,39327,17613,126828,,2959,25231,174658,1440,191
2020-12-11,2351372,39631,17936,129501,,2884,24975,175891,1334,180
2020-12-12,2365319,39825,17936,129501,,2861,24980,176743,1096,127
2020-12-13,2376852,39975,17936,129501,,2871,25239,176995,668,89
2020-12-14,2379915,40346,17936,129501,,2906,25481,177647,1316,209
2020-12-15,2391447,40653,18419,133545,,2881,25240,179087,1560,211
2020-12-16,2409062,40942,18419,133545,,2850,25315,180311,1659,219
2020-12-17,2427316,41200,18419,133545,,2808,25182,181506,1362,151
2020-12-18,2442990,41455,18774,137358,,2773,24977,182656,1281,176
2020-12-19,2460555,41644,18774,137358,,2727,24851,183571,1003,123
2020-12-20,2473354,41775,18774,137358,,2754,24993,183806,599,91
2020-12-21,2479151,42126,18774,137358,,2746,25233,184464,1284,179
2020-12-22,2490946,42507,19195,140766,,2728,24964,186058,1776,256
2020-12-23,2505875,42783,19195,140766,,2710,24884,187272,1421,200
2020-12-24,2527509,43073,19195,140766,,2652,24639,188639,1452,186
2020-12-25,2547771,43232,19195,140766,,2625,24392,189445,743,112
2020-12-26,2550864,43378,19195,140766,,2649,24477,189718,513,101
2020-12-27,2559686,43551,19195,140766,,2659,24653,189941,589,107
2020-12-28,2562646,43914,19195,140766,,2703,24678,190722,1212,229
2020-12-29,2574041,44298,19780,145914,,2675,24776,191806,1625,251
2020-12-30,2600498,44601,19780,145914,,2661,24593,193045,1399,209
2020-12-31,2620425,44852,19780,145914,,2634,24440,194221,1310,176
2021-01-01,2639773,44985,19780,145914,,2618,24296,194901,677,99
2021-01-02,2643239,45141,19780,145914,,2641,24491,195174,645,101
2021-01-03,2655728,45257,19780,145914,,2674,24813,195386,656,101
2021-01-04,2659750,45635,19780,145914,,2666,24995,196037,1258,245
2021-01-05,2680239,45980,20302,149671,,2625,24904,197503,1737,244
2021-01-06,2705618,46263,20302,149671,,2616,24741,198756,1433,234
2021-01-07,2727321,46539,20302,149671,,2582,24521,200079,1438,180
2021-01-08,2747135,46815,20616,152693,,2615,24410,201286,1439,245
2021-01-09,2767312,46983,20616,152693,,2609,24273,202165,941,143
2021-01-10,2783256,47134,20616,152693,,2629,24559,202429,728,117
2021-01-11,2786838,47444,20616,152693,,2676,24846,203072,1285,208
2021-01-12,2806590,47799,21003,156006,,2688,24737,204390,1653,257
2021-01-13,2830442,48028,21003,156006,,2711,24769,205672,1581,208
2021-01-14,2851670,48310,21003,156006,,2726,25017,206802,1685,206
2021-01-15,2872941,48590,21359,159791,,2740,25043,208071,1630,249
2021-01-16,2894347,48783,21359,159791,,2741,25019,209056,1197,188
2021-01-17,2910989,48924,21359,159791,,2776,25269,209343,697,136
2021-01-18,2914725,49327,21359,159791,,2813,25619,210200,1659,254
2021-01-19,2938333,49696,21646,162430,,2839,25567,211816,1988,313
2021-01-20,2965117,50006,21646,162430,,2852,25686,213242,1907,292
2021-01-21,2987965,50352,21646,162430,,2876,25735,214538,1755,252
2021-01-22,3011257,50671,21976,166457,,2912,25908,215822,1857,269
2021-01-23,3035181,50901,21976,166457,,2896,25900,216725,1169,172
2021-01-24,3053617,51073,21976,166457,,2965,26393,216965,918,175
2021-01-25,3057857,51518,21976,166457,,3041,26924,217708,1768,298
2021-01-26,3079943,51868,22238,169291,,3081,27041,219152,2002,343
2021-01-27,3106859,52218,22238,169291,,3107,27169,220570,1931,318
2021-01-28,3130629,52562,22238,169291,,3111,27166,221903,1719,270
2021-01-29,3153487,52917,22703,173312,,3130,27308,223174,1820,271
2021-01-30,3177879,53159,22703,173312,,3113,27282,224120,1174,192
2021-01-31,3197114,53354,22703,173312,,3158,27613,224406,816,148
2021-02-01,3201461,53809,22703,173312,,3228,27914,225319,1748,318
2021-02-02,3224798,54213,23025,175811,,3280,28071,226896,2184,368
2021-02-03,3251160,54570,23025,175811,,3277,27955,228472,1878,275
2021-02-04,3274608,54927,23025,175811,,3250,27808,229975,1745,275
2021-02-05,3296747,55220,23383,179604,,3245,27614,231549,1715,254
2021-02-06,3317333,55411,23383,179604,,3225,27369,232693,1122,168
2021-02-07,3337048,55582,23383,179604,,3272,27694,232977,785,160
2021-02-08,3341365,56040,23383,179604,,3363,28037,233993,1889,355
2021-02-09,3360235,56476,23671,181965,,3342,27677,235717,1926,333
2021-02-10,3385622,56772,23671,181965,,3319,27461,237113,1520,282
2021-02-11,3406685,57132,23671,181965,,3337,27007,238753,1610,269
2021-02-12,3427386,57449,23999,184192,,3308,26468,240290,1402,264
2021-02-13,3448617,57648,23999,184192,,3304,26240,241354,1082,191
2021-02-14,3465163,57815,23999,184192,,3309,26445,241628,649,113
2021-02-15,3469539,58227,23999,184192,,3381,26522,242528,1426,306
2021-02-16,3489129,58578,24234,186226,,3348,26239,244238,1853,322
2021-02-17,3514147,58888,24234,186226,,3350,25974,245737,1555,309
2021-02-18,3536648,59159,24234,186226,,3394,25762,247127,1486,261
2021-02-19,3560764,59484,24480,188270,,3390,25551,248488,1537,308
2021-02-20,NaN,59641,24480,,,3369,25269,249520,1029,195
2021-02-21,NaN,59800,24480,,,3392,25464,249727,593,141
2021-02-22,NaN,60133,24480,,,3407,25831,250532,1529,274
2021-02-23,NaN,60443,24601,,,3435,25660,252083,1780,345
2021-02-24,NaN,60720,24601,,,3436,25614,253450,1636,319
2021-02-25,NaN,60981,24601,,,3430,25317,254868,1454,301
2021-02-26,NaN,61265,24856,,,3445,25130,256326,1634,303
2021-02-27,NaN,61450,24856,,,3453,24989,257258,1007,208
2021-02-28,NaN,61572,24856,,,3492,25280,257555,728,164
2021-03-01,NaN,61947,24856,,,3544,25430,258384,1393,347
2021-03-02,NaN,62247,24973,,,3586,25263,259893,1705,366
2021-03-03,NaN,62569,24973,,,3637,25111,261289,1622,322
2021-03-04,NaN,62862,24973,,,3633,24891,262690,1538,293
2021-03-05,NaN,63100,25174,,,3680,24765,263919,1397,324
2021-03-06,NaN,63270,25174,,,3689,24625,264909,1097,233
2021-03-07,NaN,63400,25174,,,3743,24818,265295,720,187
2021-03-08,NaN,63759,25174,,,3849,25195,266096,1584,381
2021-03-09,NaN,64057,25244,,,3918,25201,267539,1810,421
2021-03-10,NaN,64321,25311,,,3918,24969,269019,1574,343
2021-03-11,NaN,64586,25311,,,3992,24858,270433,1609,385
2021-03-12,NaN,64809,25311,,,4033,24749,271678,1448,306
2021-03-13,NaN,64978,25311,,,4070,24671,272615,1087,263
2021-03-14,NaN,65118,25311,,,4127,24989,272960,821,188
2021-03-15,NaN,65451,25311,,,4219,25469,273771,1676,401
2021-03-16,NaN,65765,25405,,,4239,25492,275360,2005,435
2021-03-17,NaN,66006,25405,,,4219,25314,276993,1745,357
2021-03-18,NaN,66274,25405,,,4246,25389,278263,1661,382
2021-03-19,NaN,66559,25405,,,4287,25339,279646,1699,383
2021-03-20,NaN,66735,25405,,,4353,25537,280571,1348,317
2021-03-21,NaN,66873,25405,,,4406,25926,280955,926,196
2021-03-22,NaN,67216,25405,,,4548,26488,281885,1902,471
2021-03-23,NaN,67503,25405,,,4634,26756,283507,2286,488
2021-03-24,NaN,67748,25405,,,4651,26876,285199,2130,384
2021-03-25,NaN,67973,25405,,,4709,27036,286607,1860,408
2021-03-26,NaN,68276,25999,,,4766,27242,288062,2048,476
2021-03-27,NaN,68466,25999,,,4791,27259,289350,1567,332
2021-03-28,NaN,68597,25999,,,4872,27712,289752,1017,238
2021-03-29,NaN,68957,25999,,,4974,28322,290810,2099,484
2021-03-30,NaN,69293,26044,,,5072,28510,292796,2579,569
2021-03-31,NaN,69596,26044,,,5053,28463,294638,2209,472
2021-04-01,NaN,69904,26044,,,5109,28581,296166,2035,480
2021-04-02,NaN,70204,26076,,,5254,28729,297734,2092,505
2021-04-03,NaN,70389,26076,,,5273,28886,299075,1730,399
2021-04-04,NaN,70574,26076,,,5341,29356,299624,1224,270
2021-04-05,NaN,70771,26076,,,5433,29907,300064,1219,284
2021-04-06,NaN,71180,26093,,,5626,30639,301299,2459,632
2021-04-07,NaN,71601,26093,,,5729,30904,303639,3131,673
2021-04-08,NaN,71944,26093,,,5705,30555,305711,2156,498
2021-04-09,NaN,72243,26124,,,5757,30326,307674,2120,498
2021-04-10,NaN,72450,26124,,,5769,30238,309136,1649,388
2021-04-11,NaN,72626,26124,,,5838,30671,309787,1305,286
2021-04-12,NaN,73011,26124,,,5916,31262,310934,2172,492
2021-04-13,NaN,73335,26145,,,5952,31226,313051,2501,555
2021-04-14,NaN,73632,26145,,,5902,30868,315152,2072,441
2021-04-15,NaN,73928,26145,,,5924,30668,317036,2062,501
2021-04-16,NaN,74234,26170,,,5914,30472,318923,2044,463
